,sentence
14971,"Hercules, standing right, resting right hand on hip and leaning on club with lion-skin draped over left arm"
14972,"Hercules, standing right, resting right hand on hip, leaning on club with lion-skin draped over left arm"
14973,"Hercules, standing right, strangling lion"
14974,"Hercules, standing right, strangling lion; behind, club"
14975,"Hercules, standing right, strangling lion; behind, club; Victory crowning Hercules"
14976,"Hercules, standing right, strangling lion; behind, club; Victory, flying right, crowning him"
14977,"Hercules, standing right, strangling lion; to left, club"
14978,"Hercules, standing, looking right, lion-skin on back, holding bow in right hand and club in left hand"
14979,"Hercules, standng front, head right, wearing lion-skin on head and draped over left arm, holding laurel-branch in right hand and club in left hand"
14980,"Hercules, walking left, holding branch in right hand and club and lion-skin in left hand"
14981,"Hercules, walking left, holding club"
14982,"Hercules, walking left, holding mattock; at foot, water-jar"
14983,"Hercules, walking left, killing Hydra with club"
14984,"Hercules, walking right, carrying boar; at foot, wine jar"
14985,"Hercules, walking right, dragging Cerberus"
14986,"Hercules, walking right, holding club and lion's skin, dragging Cerberus"
14987,"Hercules, walking right, holding club in right hand and trophy with lion's skin in left hand"
14988,"Hercules, wearing lion skin, standing front, head right, resting right hand on club and supporting a small figure with outstretched arms on left arm"
14989,"Hercules, wearing lion's skin, standing left, holding olive-branch in right hand and club in left hand"
14990,"Hercules, wearing lion's skin, standing right, holding hand of woman who holds cornucopiae; between them, altar"
14991,"Hercules, wearing lion's skin, standing right, quiver over shoulder, resting right hand on club and holding quiver in left hand"
14992,"Hercules, wearing lion-skin, driving plough with two oxen left and holding club"
14993,"Hercules, wearing lion-skin, holding club in left hand and crowning with right hand a trophy"
14994,"Hercules, wearing lion-skin, standing right, foot on prow, resting club on tree-trunk to right, holding thunderbolt in left hand and clasping right hands with Africa, wearing elephant headdress, draped, holding sistrum in right hand and corn-ears (?) in left hand; at her feet, lion"
14995,"Hercules, wearing lion-skin, standing right, foot on prow, resting club rock to right, and recieveing corn-ears from Africa, wearing elephant headdress, draped, standing right, and holding sistrum in right hand; at feet, lion"
14996,"Hercules, wearing lion-skin, walking left, holding bow in right hand and club in left hand"
14997,"Herennius Etruscus, togate, standing left, sacrificing out of patera in right hand over altar"
14998,"Herennius, in military attire, standing left, holding standard in right hand and spear in left hand"
14999,"Herennius, in military attire, standing left, holding wand in right hand and spear in left hand"
15000,"Herennius, in military attire, standing left, holding wand in right hand and transverse spear in left hand"
15001,Hexastyle Temple
15002,Hexastyle Temple of Jupiter Optimus Maximus
15003,"Hexastyle domed temple, aquila between two standards inside"
15004,"Hexastyle round domed temple, Mars, helmeted and cloaked, standing inside left, holding aquila in right hand and parazonium in left"
15005,Hexastyle temple
15006,Hexastyle temple inscribed ROM ET AVGVST
15007,"Hexastyle temple on podium of four steps; on fastigium, quadriga; on angles, Victories."
15008,"Hexastyle temple on podium of two steps; within, Jupiter seated flanked by two figures; on roof, quadriga facing flanked by two standing figures each on right and left; architrave inscribed IMP CAESAR"
15009,"Hexastyle temple with Roma in center, seated right; six figures, standing to left and right, in front of columns"
15010,Hexastyle temple with figure (of Roma?) in centre
15011,"Hexastyle temple with figure (of Roma?) in centre, holding sceptre or spear in right hand"
15012,"Hexastyle temple with flanking wings; Concordia seated inside, holding patera and cornucopia; Hercules and Mercury stand on podia; Jupiter, Juno, Minerva, Victories and other figures above pediment."
15013,"Hexastyle temple with flanking wings; Concordia seated inside, holding patera and cornucopiae; Hercules and Mercury stand on podia; Jupiter, Juno, Minerva, Victories and other figures above pediment."
15014,Hexastyle temple with pellet
15015,"Hexastyle temple with shield in pediment, palmettes on top"
15016,Hexastyle temple with statue of Roma in centre
15017,Hexastyle temple with statue of Roma in centre of columns
15018,Hexastyle temple with statues
15019,"Hexastyle temple, Roma seated in centre, facing left, holding Victory in right hand and sceptre in left hand; beside her, shield"
15020,"Hexastyle temple, Roma seated in centre, holding Victory in right hand and sceptre in left hand"
15021,"Hexastyle temple, Roma seated in centre, holding Victory in right hand and spear in left hand"
15022,"Hexastyle temple, Sol standing in centre"
15023,"Hexastyle temple, Sol standing in centre, raising right hand"
15024,"Hexastyle temple, containing seated statue"
15025,"Hexastyle temple, in which is seated figure of Faustina I"
15026,"Hexastyle temple, inside, seated statue of Jupiter; temple flanked by covered arcades, enclosing an open space with entrance in front"
15027,"Hexastyle temple, on podium of four steps, with statues"
15028,"Hexastyle temple, with figure of (Roma ?) in centre"
15029,"Hexastyle temple, with figure of Herennius, standing left, holding spear in right hand (?)"
15030,"Hexastyle temple, with statue (of Roma ?) in centre"
15031,"Hexastyle temple, with statue in centre"
15032,"Hexastyle temple, with statues"
15033,"Hexastyle temple; above, a quadriga, and at angles, Victory"
15034,"Hexastyle temple; above, a quadriga, and at angles, Victory; pillar right and left"
15035,"Hilaritas standing left, holding palm and sceptre; flanking her, male and female children grasping her palm and dress respectively"
15036,"Hilaritas, draped, standing front, head left, holding long palm, upright on ground, in right hand and cornucopiae in left hand"
15037,"Hilaritas, draped, standing left, holding a long palm in right hand and cornucopiae in left hand"
15038,"Hilaritas, draped, standing left, holding branch in extended right hand and long palm, nearly vertical, in left hand"
15039,"Hilaritas, draped, standing left, holding branch in right hand and long palm, nearly vertical, in left hand"
15040,"Hilaritas, draped, standing left, holding long palm in right hand and cornucopiae in left"
15041,"Hilaritas, draped, standing left, holding long palm in right hand and cornucopiae in left hand"
15042,"Hilaritas, draped, standing left, holding long palm in right hand and cornucopiae in left hand; two children standing, one to either side"
15043,"Hilaritas, draped, standing left, holding long palm in right hand and sceptre in left hand"
15044,"Hilaritas, draped, standing left, holding long palm, nearly vertical, in right hand and cornucopiae in left"
15045,"Hilaritas, draped, standing left, holding long palm, nearly vertical, in right hand and cornucopiae in left hand"
15046,"Hilaritas, draped, standing left, holding long palm, nearly vertical, on ground in right hand and cornucopiae in left"
15047,"Hilaritas, draped, standing left, holding palm and cornucopiae and holding hand of child; flanking her, two children"
15048,"Hilaritas, draped, standing left, holding palm in right hand and cornucopiae in left hand"
15049,"Hilaritas, draped, standing left, holding palm in right hand and cornucopiae in left hand; flanking her, two children"
15050,"Hilaritas, draped, standing left, holding palm in right hand and cornucopiae in left hand; sometimes flanking her, two children"
15051,"Hilaritas, draped, standing left, holding patera in extended right hand and long palm in left hand"
15052,"Hilaritas, draped, standing left, holding wreath in right hand and anchor in left hand"
15053,"Hilaritas, draped, standing left, holding wreath in right hand and leaning on sceptre with left hand"
15054,"Hilaritas, draped, standing left, holding wreath in right hand and long palm in left hand; to either side, child"
15055,"Hilaritas, draped, standing, holding palm in right hand and cornucopiae in left hand; to her right, a second cornucopiae"
15056,"Hilaritas, rarely naked to waist, standing left, holding palm and cornucopia; flanking her, male and female children grasping her palm and dress respectively"
15057,"Hilaritas, standing left between two children"
15058,"Hilaritas, standing left, holding palm and cornucopiae"
15059,"Hilaritas, standing left, holding palm in right hand and cornucopiae in left"
15060,"Hilaritas, standing right, adjusting veil and holding long palm"
15061,"Hilaritas, veiled, standing facing, adjusting veil with both hands"
15062,"Hippocamp or capricorn, right"
15063,"Hippocamp, left"
15064,"Hippocamp, right"
15065,"Hippocampus, standing right"
15066,Hippopotamus left
15067,Hippopotamus right
15068,"Hippopotamus, standing right"
15069,"Hispania (or Tellus), draped, reclining left, holding branch; by her side, rabbit"
15070,"Hispania reclining left on rocks, holding branch; to left or right, rabbit"
15071,"Hispania reclining left on rocks, holding branch; to left, rabbit"
15072,"Hispania reclining left, holding olive branch; by feet or to right of rocks, usually a rabbit"
15073,"Hispania standing left, holding corn-ears, spears and shield"
15074,"Hispania standing left, holding two corn-ears in right and two small spears in left, also carrying shield on shoulder"
15075,"Hispania, draped, advancing left, holding poppy and corn-ears in right hand and round shield and two spears in left"
15076,"Hispania, draped, standing left, holding round shield and two javelins in left hand"
15077,"Hispania, draped, standing right, holding corn-ears and poppy in right and round shield and two spears in left"
15078,"Hispania, towered, draped, standing, left, holding up crown in right hand and branch in left: at her feet, left, a rabbit"
